,Date,Open,High,Low,Close,adj_close,Volume,upper,middle,lower,macd,macd_signal,macd_hist
86,2023-05-10,5350.0,5395.35009765625,5254.89990234375,5280.7001953125,5280.7001953125,202065,5466.328910667691,5123.614965820312,4780.901020972933,165.88566778459335,178.90154363284282,-13.015875848249465
87,2023-05-11,5218.2998046875,5389.0,5100.0,5375.0,5375.0,251498,5496.792036393596,5142.389965820313,4787.987895247029,172.32238126579887,177.58571115943403,-5.263329893635159
88,2023-05-12,5390.0,5465.5498046875,5251.0,5311.2001953125,5311.2001953125,394044,5511.422703388509,5159.814965820313,4808.207228252117,170.3121594738277,176.13100082231276,-5.818841348485051
89,2023-05-15,5092.5498046875,5297.10009765625,5045.0,5283.9501953125,5283.9501953125,273342,5522.525037507328,5172.90498046875,4823.284923430172,164.62253089637034,173.82930683712428,-9.206775940753943
90,2023-05-16,5279.0,5400.0,5200.0,5212.85009765625,5212.85009765625,249736,5526.300733369237,5181.227490234375,4836.154247099514,152.617001788788,169.586845827457,-16.96984403866901
91,2023-05-17,5212.0,5390.0,5212.0,5358.85009765625,5358.85009765625,211609,5543.101136686809,5189.434985351562,4835.768834016316,153.11845902029745,166.2931684660251,-13.174709445727643
92,2023-05-18,5269.60009765625,5400.0,5205.0,5389.4501953125,5389.4501953125,191314,5564.388205104684,5206.194995117187,4848.001785129691,154.20743234496695,163.87602124181348,-9.66858889684653
93,2023-05-19,5389.0,5435.0,5293.5498046875,5334.2998046875,5334.2998046875,213631,5576.284372493416,5218.999975585937,4861.715578678458,148.90380555694446,160.88157810483966,-11.9777725478952
94,2023-05-22,5300.0,5397.7998046875,5261.0,5306.35009765625,5306.35009765625,218438,5583.9361112764,5225.034985351563,4866.133859426725,140.82202667999627,156.86966781987098,-16.047641139874713
95,2023-05-23,5449.0,5599.0,5425.0498046875,5508.35009765625,5508.35009765625,306412,5605.890393935441,5231.6125,4857.334606064559,148.99929933560725,155.29559412301825,-6.296294787411
96,2023-05-24,5492.0,5581.0,5430.89990234375,5571.35009765625,5571.35009765625,174638,5636.433366033558,5240.090014648437,4843.746663263317,158.7336377485708,155.98320284812877,2.7504349004420305
97,2023-05-29,5560.0,5640.0,5500.0,5627.25,5627.25,85460,5690.6909124717085,5260.062524414063,4829.434136356417,169.01057728759042,158.5886777360211,10.421899551569311
98,2023-05-30,5411.4501953125,5520.0,5380.0,5514.5,5514.5,230665,5718.8468157834595,5280.105029296875,4841.36324281029,166.1419620855395,160.09933460592478,6.042627479614708
99,2023-05-31,5483.5498046875,5483.5498046875,5320.0,5390.0,5390.0,162558,5727.780442787621,5294.517529296875,4861.25461580613,152.06949191771582,158.493366068283,-6.423874150567173
100,2023-06-01,5404.0,5679.89990234375,5400.0,5609.2998046875,5609.2998046875,261604,5757.450579670586,5324.65751953125,4891.864459391913,156.80506817819332,158.15570649026506,-1.3506383120717373
101,2023-06-02,5700.0,5765.0,5659.9501953125,5690.89990234375,5690.89990234375,189825,5756.852965465863,5369.43251953125,4982.0120735966375,165.2377346548128,159.5721121231746,5.665622531638206
